"id","word","parent","year","type","word_type"
"brethren","brethren","brother","1200","4",""
"brethren","brethren","brethren","1200","4",""
"bitter[1]","bitter","bitterish","1200","4","adjective"
"athirst","athirst","athirst","1200","4","adjective"
"blithe","blithe","blither","1200","4","adjective"
"blissful","blissful","blissful","1200","2","adjective"
"bright[1]","bright","brightly","1200","4","adjective"
"bare[1]","bare","bareness","1200","4","adjective"
"brotherly","brotherly","brotherliness","1200","4","adjective"
"brazen[1]","brazen","brazenly","1200","4","adjective"
"black[1]","black","blackly","1200","4","adjective"
"good[1]","good","and","1200","4","adjective"
"careless","careless","carelessness","1200","4","adjective"
"ashen[1]","ashen","ashen","1200","4","adjective"
"alive","alive","alive","1200","4","adjective"
"baleful","baleful","balefulness","1200","4","adjective"
"aware","aware","aware","1200","4","adjective"
"blind[1]","blind","blinder","1200","4","adjective"
"afeard","afeard","afeard","1200","4","adjective"
"brown[1]","brown","brown","1200","4","adjective"
"burning","burning","burning","1200","4","adjective"
"baleful","baleful","baleful","1200","4","adjective"
"blind[1]","blind","blindly","1200","4","adjective"
"careful","careful","careful","1200","4","adjective"
"good[1]","good","better","1200","4","adjective"
"brown[1]","brown","browner","1200","4","adjective"
"blind[1]","blind","blindness","1200","4","adjective"
"bloody[1]","bloody","bloodily","1200","4","adjective"
"bedridden","bedridden","bedridden","1200","4","adjective"
"blessed","blessed","blest","1200","4","adjective"
"bloody[1]","bloody","bloody","1200","4","adjective"
"bloodless","bloodless","bloodlessly","1200","4","adjective"
"aware","aware","awareness","1200","4","adjective"
"brazen[1]","brazen","brazenness","1200","4","adjective"
"busy[1]","busy","busy","1200","4","adjective"
"bloodless","bloodless","bloodless","1200","4","adjective"
"all[1]","all","all","1200","4","adjective"
"best[1]","best","best","1200","4","adjective"
"ashamed","ashamed","ashamed","1200","4","adjective"
"bitter[1]","bitter","bitterness","1200","4","adjective"
"blissful","blissful","blissfully","1200","2","adjective"
"bedridden","bedridden","bedrid","1200","4","adjective"
"busy[1]","busy","busily","1200","4","adjective"
"broad[1]","broad","broad","1200","4","adjective"
"black[1]","black","blacker","1200","4","adjective"
"canicular","canicular","canicular","1200","2","adjective"
"alive","alive","aliveness","1200","4","adjective"
"worse[1]","worse","bad","1200","4","adjective"
"careless","careless","carelessly","1200","4","adjective"
"bloodless","bloodless","bloodlessness","1200","4","adjective"
"bare[1]","bare","barer","1200","4","adjective"
"bitter[1]","bitter","bitter","1200","4","adjective"
"born","born","born","1200","4","adjective"
"better[1]","better","better","1200","4","adjective"
"broad[1]","broad","broadness","1200","4","adjective"
"brazen[1]","brazen","brazen","1200","4","adjective"
"good[1]","good","best","1200","4","adjective"
"busy[1]","busy","busyness","1200","4","adjective"
"bare[1]","bare","Bare","1200","4","adjective"
"bloody[1]","bloody","bloodiness","1200","4","adjective"
"worst[1]","worst","bad","1200","4","adjective"
"almighty[1]","almighty","almightiness","1200","4","adjective"
"blind[1]","blind","blind","1200","4","adjective"
"blessed","blessed","blessedly","1200","4","adjective"
"bright[1]","bright","bright","1200","4","adjective"
"blessed","blessed","blessedness","1200","4","adjective"
"every","every","again","1200","4","adjective"
"blithe","blithe","blithe","1200","4","adjective"
"buxom","buxom","buxomly","1200","2","adjective"
"after[4]","after","after","1200","4","adjective"
"bold[1]","bold","bold","1200","4","adjective"
"blissful","blissful","blissfulness","1200","2","adjective"
"brotherly","brotherly","brotherly","1200","4","adjective"
"blithe","blithe","blithely","1200","4","adjective"
"baleful","baleful","balefully","1200","4","adjective"
"ashamed","ashamed","ashamedly","1200","4","adjective"
"careless","careless","careless","1200","4","adjective"
"afeard","afeard","afeared","1200","4","adjective"
"almighty[1]","almighty","almighty","1200","4","adjective"
"buxom","buxom","buxom","1200","2","adjective"
"bitter[1]","bitter","bitterly","1200","4","adjective"
"bold[1]","bold","boldness","1200","4","adjective"
"careful","careful","carefully","1200","4","adjective"
"broad[1]","broad","broadly","1200","4","adjective"
"black[1]","black","blackish","1200","4","adjective"
"bold[1]","bold","boldly","1200","4","adjective"
"black[1]","black","black","1200","4","adjective"
"any[1]","any","any","1200","4","adjective"
"black[1]","black","blackness","1200","4","adjective"
"another[1]","another","another","1200","2","adjective"
"blessed","blessed","blessed","1200","4","adjective"
"careful","careful","carefulness","1200","4","adjective"
"burning","burning","burningly","1200","4","adjective"
"buxom","buxom","buxomness","1200","2","adjective"
"afloat","afloat","afloat","1200","4","adjective or adverb"
"ane","ane","anes","1200","4","adjective or noun or pronoun"
"but[3]","but","but","1200","2","adverb"
"almost[1]","almost","almost","1200","4","adverb"
"away[1]","away","away","1200","4","adverb"
"then[1]","then","and","1200","4","adverb"
"best[2]","best","asbest","1200","4","adverb"
"ever","ever","anon","1200","4","adverb"
"ever","ever","again","1200","4","adverb"
"beyond[1]","beyond","beyond","1200","4","adverb"
"anew","anew","anew","1200","4","adverb"
"about[1]","about","about","1200","4","adverb"
"after[1]","after","after","1200","4","adverb"
"between[2]","between","between","1200","4","adverb"
"once[1]","once","awhile","1200","2","adverb"
"best[2]","best","best","1200","4","adverb"
"all[2]","all","all","1200","4","adverb"
"well[3]","well","better","1200","4","adverb"
"above[1]","above","above","1200","4","adverb"
"aright","aright","aright","1200","4","adverb"
"better[3]","better","better","1200","2","adverb"
"anon[1]","anon","anon","1200","4","adverb"
"awhile","awhile","awhile","1200","4","adverb"
"broad[2]","broad","broad","1200","4","adverb"
"anything[2]","anything","anything","1200","4","adverb"
"by[2]","by","by","1200","4","adverb"
"barely","barely","barely","1200","4","adverb"
"well[3]","well","aswell","1200","4","adverb"
"beneath[1]","beneath","beneath","1200","4","adverb"
"worst[2]","worst","bad","1200","4","adverb"
"aback","aback","aback","1200","4","adverb"
"worse[3]","worse","bad","1200","4","adverb"
"as[1]","as","As","1200","4","adverb"
"ben[1]","ben","Ben","1200","4","adverb"
"also","also","also","1200","4","adverb"
"worst[2]","worst","badly","1200","4","adverb"
"well[3]","well","best","1200","4","adverb"
"barefoot","barefoot","barefoot","1200","4","adverb or adjective"
"before[1]","before","before","1200","4","adverb or adjective"
"afield","afield","afield","1200","4","adverb or adjective"
"barefoot","barefoot","barefooted","1200","4","adverb or adjective"
"behind[1]","behind","behind","1200","4","adverb or adjective"
"afore","afore","afore","1200","4","adverb or conjunction or preposition"
"betwixt","betwixt","betwixt","1200","4","adverb or preposition"
"if[1]","if","anything","1200","4","conjunction"
"but[1]","but","but","1200","4","conjunction"
"an[3]","an","an","1200","2","conjunction"
"both[2]","both","both","1200","2","conjunction"
"and","and","and","1200","4","conjunction"
"as[2]","as","As","1200","2","conjunction"
"after[3]","after","after","1200","4","conjunction"
"a[2]","a","A","1200","4","indefinite article"
"an[1]","an","an","1200","4","indefinite article"
"amen","amen","Amen","1200","4","interjection"
"awn","awn","awnless","1200","2","noun"
"balsam","balsam","balsam","1200","4","noun"
"broth","broth","broth","1200","4","noun"
"burn[1]","burn","burn","1200","4","noun"
"adze","adze","adz","1200","4","noun"
"ampulla","ampulla","ampulla","1200","4","noun"
"beech","beech","beechen","1200","4","noun"
"beetle[1]","beetle","beetle","1200","4","noun"
"boat[1]","boat","boatful","1200","4","noun"
"burden[1]","burden","burden","1200","4","noun"
"beard[1]","beard","bearded","1200","4","noun"
"boar","boar","boarish","1200","4","noun"
"ash[1]","ash","ash","1200","4","noun"
"binder","binder","binder","1200","4","noun"
"crab[1]","crab","Carapa","1200","4","noun"
"bone[1]","bone","bone","1200","4","noun"
"beginning[1]","beginning","beginning","1200","2","noun"
"anthem","anthem","anthem","1200","4","noun"
"ash[2]","ash","ashes","1200","4","noun"
"dint[1]","dint","by","1200","4","noun"
"brain[1]","brain","brains","1200","4","noun"
"anchor[1]","anchor","anchor","1200","4","noun"
"ark","ark","ark","1200","4","noun"
"barrow[2]","barrow","barrow","1200","4","noun"
"bane[1]","bane","bane","1200","4","noun"
"buck[1]","buck","buck","1200","4","noun"
"bloom[1]","bloom","bloom","1200","4","noun"
"can[2]","can","can","1200","4","noun"
"bier","bier","bier","1200","4","noun"
"foot[1]","foot","atone","1200","4","noun"
"boar","boar","boar","1200","4","noun"
"breach[1]","breach","breach","1200","4","noun"
"boat[1]","boat","boatlike","1200","4","noun"
"ampulla","ampulla","ampullary","1200","4","noun"
"board[1]","board","boardlike","1200","4","noun"
"archbishop","archbishop","archbishop","1200","4","noun"
"pole[1]","pole","apart","1200","4","noun"
"water[1]","water","above","1200","4","noun"
"Beelzebub","Beelzebub","Beelzebub","1200","4","noun"
"byword","byword","byword","1200","4","noun"
"hand[1]","hand","byhand","1200","4","noun"
"bough","bough","boughed","1200","4","noun"
"camel","camel","camel","1200","4","noun"
"breast[1]","breast","breasted","1200","4","noun"
"calf[1]","calf","calves","1200","4","noun"
"brand[1]","brand","brand","1200","4","noun"
"brightness","brightness","brightness","1200","4","noun"
"brass","brass","brass","1200","4","noun"
"bramble","bramble","bramble","1200","4","noun"
"birch[1]","birch","birch","1200","4","noun"
"blade[1]","blade","blade","1200","4","noun"
"ass[2]","ass","ass","1200","4","noun"
"bead[1]","bead","bead","1200","4","noun"
"ankle","ankle","ankle","1200","4","noun"
"bosom[1]","bosom","bosom","1200","4","noun"
"bass[1]","bass","bass","1200","4","noun"
"ax[1]","ax","ax","1200","4","noun"
"Beowulf","Beowulf","Beowulf","1200","4","noun"
"burier","burier","burier","1200","4","noun"
"aloe","aloe","aloe","1200","4","noun"
"bow[3]","bow","bow","1200","4","noun"
"belt[1]","belt","belt","1200","4","noun"
"bullock","bullock","bullocky","1200","4","noun"
"ax[1]","ax","axe","1200","4","noun"
"bee[1]","bee","bonnet","1200","4","noun"
"arbalest","arbalest","arbalist","1200","4","noun"
"burgh","burgh","burgh","1200","2","noun"
"bond[1]","bond","bond","1200","2","noun"
"friend[1]","friend","be","1200","4","noun"
"bolt[1]","bolt","bolt","1200","4","noun"
"bale[1]","bale","bale","1200","4","noun"
"Abel","Abel","Abel","1200","4","noun"
"book[1]","book","book","1200","4","noun"
"bier","bier","beer","1200","4","noun"
"Almighty","Almighty","almighty","1200","4","noun"
"bridal[1]","bridal","bridal","1200","4","noun"
"asp[1]","asp","asp","1200","4","noun"
"boon[1]","boon","boon","1200","2","noun"
"bliss","bliss","bliss","1200","4","noun"
"bull[1]","bull","bull","1200","4","noun"
"high altar","high altar","altar","1200","4","noun"
"arm[1]","arm","armless","1200","4","noun"
"behest","behest","behest","1200","2","noun"
"ash[1]","ash","ashes","1200","4","noun"
"book[1]","book","bookful","1200","4","noun"
"blood[1]","blood","blood","1200","4","noun"
"bridge[1]","bridge","bridgeless","1200","4","noun"
"ass[1]","ass","arse","1200","4","noun"
"bridge[1]","bridge","bridge","1200","4","noun"
"Balaam","Balaam","Balaam","1200","4","noun"
"manner","manner","born","1200","2","noun"
"alms","alms","almsgiver","1200","4","noun"
"apostle","apostle","apostle","1200","4","noun"
"belt[1]","belt","belted","1200","4","noun"
"August","August","August","1200","4","noun"
"drop[1]","drop","bucket","1200","4","noun"
"brook[1]","brook","brook","1200","4","noun"
"barn","barn","barn","1200","4","noun"
"bit[3]","bit","bit","1200","4","noun"
"bat[1]","bat","bats","1200","4","noun"
"arm[1]","arm","arms","1200","4","noun"
"burgh","burgh","burghal","1200","2","noun"
"brain[1]","brain","brain","1200","4","noun"
"bullock","bullock","bullock","1200","4","noun"
"apple","apple","apple","1200","4","noun"
"butterfly[1]","butterfly","butterfly","1200","4","noun"
"board[1]","board","board","1200","4","noun"
"blain","blain","blain","1200","4","noun"
"bourn","bourn","bourn","1200","2","noun"
"care[1]","care","care","1200","4","noun"
"blast[1]","blast","blast","1200","4","noun"
"adze","adze","adze","1200","4","noun"
"Adam[1]","Adam","Adamic","1200","4","noun"
"alderman","alderman","aldermanic","1200","4","noun"
"bitter[2]","bitter","bitter","1200","4","noun"
"back[1]","back","backed","1200","4","noun"
"ale","ale","ale","1200","4","noun"
"bat[1]","bat","Bat","1200","4","noun"
"arrow[1]","arrow","arrow","1200","4","noun"
"bishop","bishop","bishop","1200","4","noun"
"bridle[1]","bridle","bridle","1200","4","noun"
"butter[1]","butter","butterless","1200","4","noun"
"ass[2]","ass","arses","1200","4","noun"
"canon[1]","canon","canyon","1200","4","noun"
"ass[1]","ass","ass","1200","4","noun"
"ache[2]","ache","ache","1200","4","noun"
"board[1]","board","across","1200","4","noun"
"half[1]","half","again","1200","4","noun"
"better[4]","better","bettor","1200","2","noun"
"black[2]","black","black","1200","4","noun"
"bale[1]","bale","bail","1200","4","noun"
"brother","brother","brethren","1200","4","noun"
"ape[1]","ape","apelike","1200","4","noun"
"angel","angel","Angelical","1200","4","noun"
"Albion","Albion","Albion","1200","4","noun"
"barm","barm","barm","1200","4","noun"
"angel","angel","angelic","1200","4","noun"
"bell[1]","bell","bell","1200","4","noun"
"balefire","balefire","balefire","1200","4","noun"
"barley","barley","barley","1200","4","noun"
"bat[1]","bat","baht","1200","4","noun"
"bowl[1]","bowl","bowl","1200","4","noun"
"bar[1]","bar","bar","1200","2","noun"
"breaker[1]","breaker","breaker","1200","2","noun"
"Advent","Advent","Advent","1200","2","noun"
"body[1]","body","body","1200","4","noun"
"beer","beer","beer","1200","4","noun"
"boot[1]","boot","boot","1200","4","noun"
"Amos","Amos","Amos","1200","4","noun"
"berry[1]","berry","berry","1200","4","noun"
"canon[1]","canon","canun","1200","4","noun"
"beard[1]","beard","beard","1200","4","noun"
